id,iddrink,idingredient,strmeasure
2101,14978,345,mikey bottle
2102,14978,173,large bottle
2103,14978,340,355 ml frozen
2104,14978,7,355 ml frozen
2105,14978,278,crushed
2106,15789,196,1/2 pint
2107,15789,322,1/2 pint
2108,15789,50,A little bit of
2109,16405,97,1 shot
2110,16405,203,1 shot
2111,16405,278,cubes
2112,16405,347,1
2113,13423,350,2 cl Smirnoff
2114,13423,203,2 cl
2115,13423,138,2 cl
2116,13423,207,6 cl
2117,13423,43,1 dash
2118,12093,132,2 oz
2119,12093,208,1 oz
2120,12093,264,1/2 tsp superfine
2121,12093,300,1
2122,12093,174,1
2123,12690,224,1/2 cup plain
2124,12690,220,1 1/4 cup cold
2125,12690,258,1/2 tsp ground roasted
2126,12690,61,1/4 tsp
2127,12690,210,1/4 tsp dried
2128,14584,143,2 shots
2129,14584,316,12 oz lemon
2130,11991,24,1/2 oz
2131,11991,156,1 1/2 oz
2132,11991,184,1 1/2 tsp
2133,15006,20,1 oz
2134,15006,97,3/4 oz
2135,15006,11,1 splash
2136,11766,30,2 oz
2137,11766,28,1 oz
2138,11766,205,1/2 oz
2139,15403,350,2 oz
2140,15403,147,1
2141,12460,350,2 oz
2142,12460,120,1
2143,11326,90,1 1/2 oz
2144,11326,156,3/4 oz
2145,11326,86,1 dash
2146,11326,182,1 twist of
2147,15328,265,2 cl
2148,15328,263,2 cl
2149,15328,75,2 cl
2150,17221,76,3 cups
2151,17221,310,1 cup
2152,17221,296,1/2 cup
2153,17221,55,for topping
2154,17221,85,4 tablespoons
2155,17221,166,4 tablespoons
2156,17221,164,15
2157,12316,126,1/2 oz
2158,12316,132,1 oz
2159,12316,66,1 oz
2160,12316,131,1 tsp
2161,12316,202,1 oz
2162,16273,188,1 can
2163,16273,220,3 cans
2164,16273,350,1 1/2 cup
2165,17199,101,2 parts
2166,17199,149,2 parts
2167,17199,297,2 parts
2168,17199,178,1 part
2169,12750,310,2 cups
2170,12750,170,2 oz sweet
2171,12750,6,1/2 tsp
2172,12750,38,2 beaten
2173,15024,143,2 oz
2174,15024,3,4 oz
2175,15024,173,2 oz
2176,15024,278,Add
2177,11023,28,2 oz
2178,11023,72,1 oz
2179,11023,213,1
2180,12914,108,6
2181,12914,264,1/4 cup
2182,12914,61,1/4 tsp
2183,12914,310,1 qt
2184,12914,279,1 tsp
2185,12067,264,1 tsp superfine
2186,12067,43,3 oz
2187,12067,317,1
2188,12067,28,2 oz
2189,12067,174,1
2190,12067,300,1
2191,11291,132,1 1/2 oz
2192,11291,222,Juice of 1/2
2193,11291,131,1 tsp
2194,16311,246,1 oz
2195,16311,311,1/2 oz
2196,16311,347,2 oz
2197,11963,262,2 1/2 oz
2198,11963,8,1/2 tsp
2199,13032,257,46 oz
2200,13032,7,20 oz
2201,13032,113,1/2 cup
2202,13032,6,3 3-inch
2203,13032,91,1/2 tsp
2204,13032,66,2 tblsp
2205,17182,330,5 cl
2206,17182,204,2.5 cl
2207,17182,239,2.5 cl
2208,17182,10,1.5 cl
2209,17182,64,2 Dashes
2210,17182,334,Pinch
2211,17182,193,2 sprigs
2212,15346,28,1 shot
2213,15346,132,2 shots
2214,15346,350,1 shot
2215,15346,7,1 shot
2216,13825,72,1 oz
2217,13825,263,1 oz
2218,13825,254,dash
2219,13825,205,2 oz
2220,13825,19,2 oz Hazlenut
2221,17229,345,1 shot
2222,17229,24,1/2 shot
2223,17229,304,1/2 shot
2224,17229,156,1/2 shot
2225,17229,52,1/4 shot
2226,17229,272,1/4 shot
2227,17229,220,1/2 shot
2228,12087,132,2 oz
2229,12087,310,1 cup
2230,12087,131,1 tsp
2231,12087,308,1
2232,11387,132,1 1/2 oz
2233,11387,251,1 tblsp
2234,11387,66,1 1/2 oz
2235,11387,264,1 tsp
2236,11387,146,1
2237,11387,278,1 cup crushed
2238,11415,156,2 oz
2239,11415,317,Juice of 1/2
2240,11415,131,1 tsp
2241,11415,220,1 tsp
2242,11415,13,Twist of
2243,17201,345,12 parts
2244,17201,326,8 parts
2245,17201,241,3 parts
2246,17201,204,3 parts
